PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,4730,4730,1976,"Wheat, all",1159000,469000,1159000,469000,1,31.5,-99,2100,36464,-99,992400,31.46160483,-99,2115.991471,0.007614986
47,4730,4730,1976,"Wheat, durum",341000,138000,341000,138000,1,30.9,-99,2100,10548,-99,287100,30.93255132,-99,2080.434783,-0.00931677
47,4730,4730,1976,"Wheat, spring",818000,331000,818000,331000,1,31.7,-99,2100,25916,-99,705300,31.68215159,-99,2130.81571,0.014674148
47,4730,4730,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Barley,25800,10400,24000,9700,0.930232558,44.4,-99,2400,1066,-99,23200,44.41666667,-99,2391.752577,-0.003436426
47,4731,4731,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Flaxseed,400,200,400,200,1,17,-99,1100,7,-99,200,17.5,-99,1000,-0.090909091
47,4731,4731,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Oats,35000,14200,29000,11700,0.828571429,54.8,-99,2100,1588,-99,24500,54.75862069,-99,2094.017094,-0.002849003
47,4731,4731,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Summerfallow,660000,267100,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4731,4731,1976,"Wheat, all",665000,269100,665000,269100,1,31.4,-99,2100,20856,-99,567600,31.36240602,-99,2109.253066,0.004406222
47,4731,4731,1976,"Wheat, durum",157000,63500,157000,63500,1,30.4,-99,2000,4780,-99,130100,30.44585987,-99,2048.818898,0.024409449
47,4731,4731,1976,"Wheat, spring",508000,205600,508000,205600,1,31.6,-99,2100,16076,-99,437500,31.64566929,-99,2127.918288,0.013294423
47,4731,4731,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Barley,35100,14300,34000,13800,0.968660969,46.9,-99,2500,1593,-99,34700,46.85294118,-99,2514.492754,0.005797101
47,4732,4732,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Flaxseed,500,200,500,200,1,17,-99,1100,9,-99,200,18,-99,1000,-0.090909091
47,4732,4732,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
