PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,
46,4607,4607,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Oats,95700,38800,74000,29900,0.773249739,72.4,-99,2800,5355,-99,82700,72,-99,2765.89,-0.012183469,
46,4607,4607,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,"Rye, fall remaining",26800,10800,26800,10800,1,37,-99,2300,992,-99,25200,37,-99,2333.33,0.014492754,
46,4607,4607,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Summerfallow,52000,21000,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4607,4607,1985,"Wheat, all",619100,250500,619100,250500,1,40.5,-99,2700,25060,-99,682000,40,-99,2722.55,0.008353663,
46,4607,4607,1985,"Wheat, durum",17000,6900,17000,6900,1,42.2,-99,2800,718,-99,19500,42,-99,2826.09,0.00931677,
46,4607,4607,1985,"Wheat, spring",602100,243700,602100,243700,1,40.4,-99,2700,24342,-99,662500,40,-99,2718.51,0.006854208,
46,4607,4607,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Barley,287000,116100,287000,116100,1,74.9,-99,4000,21493,-99,468100,75,-99,4031.87,0.00796727,
46,4608,4608,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Canola,168400,68200,168400,68200,1,30.2,-99,1700,5093,-99,115500,30,-99,1693.55,-0.003795066,
46,4608,4608,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Flaxseed,286400,115900,286400,115900,1,23.1,-99,1400,6608,-99,168000,23,-99,1449.53,0.035375324,
46,4608,4608,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Oats,46100,18700,37000,15000,0.802603037,81.6,-99,3100,3020,-99,46600,82,-99,3106.67,0.002150538,
46,4608,4608,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
