Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,Caragana,0,55,2.455165386,3.033176422,2.642180098,143.5774841,200.451416,152.4453881,1.810613632,2.006807089,1.891241738,67.30273438,70.94611359,68.69002598,0.644551873,1.03474617,0.750938386,76.27474213,129.5053101,83.75536131,527,527,527,1.109741656,1.109741656,1.109741656,554.8708282,554.8708282,554.8708282
2A,Caragana,0,56,2.448773146,3.083553076,2.66802152,146.2250061,202.9001923,155.1134091,1.856789351,1.995986938,1.887629028,69.15952301,72.94210052,70.57765554,0.452786267,1.11209929,0.780392392,77.06548309,129.9580841,84.53575269,527,527,527,1.098028335,1.098028335,1.098028335,549.0141673,549.0141673,549.0141673
2A,Caragana,0,57,2.657306671,2.900316,2.766455003,148.9416809,205.5892334,157.8798641,1.822585702,2.078297853,1.945523,71.02789307,74.95420837,72.52317885,0.676925063,0.848308444,0.820932028,77.91379547,130.6350098,85.35668576,527,527,527,1.086642718,1.086642718,1.086642718,543.3213588,543.3213588,543.3213588
2A,Caragana,0,58,2.531034708,3.190737009,3.015283982,151.9369965,208.7799683,160.8951483,1.91421032,2.182185888,1.963881888,72.94210052,77.13639832,74.48706127,0.416699231,1.093446851,1.051402132,78.99489594,131.6435699,86.40808706,527,527,527,1.075570125,1.075570125,1.075570125,537.7850627,537.7850627,537.7850627
2A,Caragana,0,59,2.585724592,3.107585669,2.724433641,154.6513367,211.8875427,163.6195816,1.878537774,2.058014631,1.953119507,74.82064056,79.16215515,76.44018128,0.527709901,1.08182478,0.771314112,79.83069611,132.7253876,87.17940034,527,527,527,1.064796774,1.064796774,1.064796774,532.398387,532.398387,532.398387
2A,Caragana,0,60,2.78229475,2.942779779,2.842908017,157.4336243,214.7469788,166.4624858,1.955692053,2.140532494,2.011372626,76.77633667,81.3026886,78.45155466,0.718904257,0.87906909,0.831535326,80.65729523,133.4442902,88.0109351,527,527,527,1.054309707,1.054309707,1.054309707,527.1548534,527.1548534,527.1548534
2A,Caragana,15,1,,,,59.07855988,107.8836899,64.48021885,,,,0,0,0,,,,59.07855988,107.8836899,64.48021885,448,448,448,32.49780457,32.49780457,32.49780457,16248.90228,16248.90228,16248.90228
2A,Caragana,15,2,-0.255822569,-0.164976388,-0.220043934,58.82273483,107.6965637,64.26017295,0.000613862,0.000747793,0.000658005,0.000613862,0.000747793,0.000658005,-0.256436437,-0.165676758,-0.220701942,58.82212067,107.6958313,64.25951427,448,448,448,14.36484333,14.36484333,14.36484333,7182.421665,7182.421665,7182.421665
2A,Caragana,15,3,-0.250689596,-0.159648806,-0.214777319,58.57204437,107.5150146,64.04539506,0.004626359,0.005461323,0.004904956,0.005240221,0.006209116,0.005562961,-0.255315959,-0.164823309,-0.219682278,58.56680679,107.5089188,64.03983432,448,448,448,8.910469928,8.910469928,8.910469928,4455.234964,4455.234964,4455.234964
2A,Caragana,15,4,-0.240436956,-0.148780107,-0.204182415,58.33160782,107.3447189,63.84121335,0.013128516,0.01520591,0.013827943,0.018368738,0.021415027,0.019390903,-0.25356549,-0.163288638,-0.218010365,58.31324005,107.3236237,63.8218229,448,448,448,6.349620433,6.349620433,6.349620433,3174.810216,3174.810216,3174.810216
2A,Caragana,15,5,-0.224485144,-0.131890237,-0.187705245,58.10712433,107.1919174,63.65350899,0.026352763,0.030126279,0.027632464,0.044721499,0.051541306,0.047023366,-0.250837892,-0.160773501,-0.2153377,58.06240082,107.1410751,63.60648457,448,448,448,5.35894272,5.35894272,5.35894272,2679.47136,2679.47136,2679.47136
