Tree #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
111,37.0708,84.5088,43.6681,80.4248,75.0841,73.8274,46.8097,76.3407,80.1106,63.4602,221.1681,221.7964,46.1814,,,,,,,,,,,,,,,,,,,,,,,,,
112,67.2301,36.1283,64.4026,113.1288,70.0575,63.4602,68.1726,71,104.3637,74.7699,101.3478,311.9602,101.7876,74.7699,80.1106,86.0796,79.1681,72.2566,113.0973,89.5354,81.3672,,,,,,,,,,,,,,,,,
113,107.7566,82.6239,53.25,84.823,45.8673,96.4469,69.4292,31.1018,34.8717,19.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,90.4779,108.0708,104.3009,95.1903,49.1031,102.3217,113.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,94.5619,40.2124,57.8053,68.1726,82.6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,76.6549,150.7964,130.3761,60.9469,44.2965,99.9026,79.4823,85.4513,41.469,28.5885,92.677,49.323,146.0841,32.6726,43.6681,24.9442,,,,,,,,,,,,,,,,,,,,,,
119,71.9425,82.938,53.0929,98.9602,99.2743,138.8584,105.8717,100.8451,125.9779,43.6681,53.7212,28.9027,35.1858,113.7257,107.7566,45.5531,42.4115,,,,,,,,,,,,,,,,,,,,,
120,64.0885,111.5265,163.677,141.623,202.6327,193.2079,54.3496,155.823,114.0398,174.3584,154.2522,164.6823,100.9708,168.3894,0,0,0,,,,,,,,,,,,,,,,,,,,,
121,45.5531,124.0929,97.7035,66.0991,101.7876,111.8407,64.0885,93.6195,33.615,36.4425,131.6327,144.1991,151.7389,83.8805,143.8849,170.5885,129.7478,143.2566,132.8894,74.1416,80.1106,,,,,,,,,,,,,,,,,
122,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,84.823,5.6549,96.7611,81.9956,90.1637,108.3849,70.3717,98.0177,108.6991,75.0841,102.1018,65.031,103.9867,64.7168,78.2257,115.6106,109.9557,42.0973,54.9779,110.5841,,,,,,,,,,,,,,,,,,
126,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,100.8451,100.8765,66.6018,69.4292,57.0199,97.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,79.1681,75.838,89.2212,89.8495,63.7743,77.9115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,49.323,101.1593,85.7655,65.9734,88.5929,59.0619,40.9978,29.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,151.4248,125.9779,146.7124,64.0885,240.3318,146.0841,88.2788,17.5929,65.7221,32.3584,92.3628,54.9779,,,,,,,,,,,,,,,,,,,,,,,,,,
133,51.8363,22.6195,49.323,110.5841,92.677,25.7611,100.154,91.7345,95.8186,103.0442,115.6106,69.7434,90.1637,66.6018,136.3451,159.2787,126.6062,62.5177,104.3009,133.2349,120.323,128.4911,54.0354,,,,,,,,,,,,,,,
134,52.5903,69.7434,101.1593,104.615,102.7301,115.6106,60.3186,81.3672,28.9027,22.3053,17.2788,99.2743,94.8761,79.4823,69.8062,21.677,57.1142,37.5106,38.6416,48.3805,63.4602,,,,,,,,,,,,,,,,,
135,111.5265,82.938,108.0708,91.4203,83.8805,57.177,109.7987,92.9911,55.292,57.8053,91.546,96.4469,107.4425,69.7434,69.4292,92.0487,55.3549,98.0491,120.0088,38.6416,75.7124,79.4823,91.7345,82.6239,87.3363,87.0221,,,,,,,,,,,,
136,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,115.6106,82.6239,44.6106,86.708,66.9159,29.2168,66.2876,63.7743,72.8849,67.5442,71.6283,76.3407,97.0752,98.0177,101.4734,68.4867,87.3363,84.5088,26.7035,16.3363,104.9292,65.2195,44.9248,,,,,,,,,,,,,,,
138,73.8274,72.5708,60.0044,63.4602,73.1991,64.7168,77.9115,81.3672,103.9867,83.0637,104.615,78.0686,75.0212,95.5044,80.4248,30.4734,,,,,,,,,,,,,,,,,,,,,,
